18:37:19.204 [Philosopher-4; Meals=0]: I'm alive!
18:37:19.241 [Philosopher-3; Meals=0]: I'm alive!
18:37:19.242 [Philosopher-5; Meals=0]: I'm alive!
18:37:19.243 [Philosopher-1; Meals=0]: I'm alive!
18:37:19.243 [Philosopher-2; Meals=0]: I'm alive!
18:37:19.308 [Philosopher-2; Meals=0]: Waiting for a nice seat...
18:37:19.308 [Philosopher-5; Meals=0]: Waiting for a nice seat...
18:37:19.310 [Philosopher-4; Meals=0]: Waiting for a nice seat...
18:37:19.312 [Philosopher-1; Meals=0]: Waiting for a nice seat...
18:37:19.313 [Philosopher-3; Meals=0]: Waiting for a nice seat...
18:37:19.334 [Philosopher-1; Meals=0]: Found a nice seat (Chair-1)
18:37:19.335 [Philosopher-4; Meals=0]: Found a nice seat (Chair-2)
18:37:19.336 [Philosopher-2; Meals=0]: Found a nice seat (Chair-5)
18:37:19.336 [Philosopher-3; Meals=0]: Found a nice seat (Chair-4)
18:37:19.337 [Philosopher-5; Meals=0]: Found a nice seat (Chair-3)
18:37:19.342 [Philosopher-4; Meals=0]: Waiting for 2 forks...
18:37:19.346 [Philosopher-1; Meals=0]: Waiting for 2 forks...
18:37:19.346 [Philosopher-3; Meals=0]: Waiting for 2 forks...
18:37:19.348 [Philosopher-2; Meals=0]: Waiting for 2 forks...
18:37:19.349 [Philosopher-5; Meals=0]: Waiting for 2 forks...
18:37:19.361 [Philosopher-4; Meals=0]: Picked up fork (Fork-2 from Chair-2)
18:37:19.362 [Philosopher-1; Meals=0]: Picked up fork (Fork-1 from Chair-1)
18:37:19.370 [Philosopher-3; Meals=0]: Picked up fork (Fork-4 from Chair-4)
18:37:19.371 [Philosopher-2; Meals=0]: Picked up fork (Fork-5 from Chair-5)
18:37:19.374 [Philosopher-5; Meals=0]: Picked up fork (Fork-3 from Chair-3)
18:37:19.382 [Philosopher-1; Meals=0]: Release my fork (Fork-1 from Chair-1)
18:37:19.382 [Philosopher-4; Meals=0]: Release my fork (Fork-2 from Chair-2)
18:37:19.387 [Philosopher-3; Meals=0]: Release my fork (Fork-4 from Chair-4)
18:37:19.388 [Philosopher-2; Meals=0]: Release my fork (Fork-5 from Chair-5)
18:37:19.388 [Philosopher-5; Meals=0]: Release my fork (Fork-3 from Chair-3)
18:37:19.397 [Philosopher-4; Meals=0]: Picked up fork (Fork-2 from Chair-2)
18:37:19.400 [Philosopher-5; Meals=0]: Picked up fork (Fork-3 from Chair-3)
18:37:19.401 [Philosopher-1; Meals=0]: Picked up fork (Fork-1 from Chair-1)
18:37:19.403 [Philosopher-2; Meals=0]: Picked up fork (Fork-5 from Chair-5)
18:37:19.409 [Philosopher-3; Meals=0]: Picked up fork (Fork-4 from Chair-4)
18:37:19.411 [Philosopher-1; Meals=0]: Release my fork (Fork-1 from Chair-1)
