12:47:22.552 [Philosopher-1; Meals=0]: I'm alive!
12:47:22.552 [Philosopher-2; Meals=0]: I'm alive!
12:47:22.554 [Philosopher-3; Meals=0]: I'm alive!
12:47:22.555 [Philosopher-4; Meals=0]: I'm alive!
12:47:22.555 [Philosopher-5; Meals=0]: I'm alive!
12:47:22.555 [Philosopher-6; Meals=0]: I'm alive!
12:47:22.556 [Philosopher-7; Meals=0]: I'm alive!
12:47:22.556 [Philosopher-8; Meals=0]: I'm alive!
12:47:22.557 [Philosopher-10; Meals=0]: I'm alive!
12:47:22.557 [Philosopher-9; Meals=0]: I'm alive!
12:47:22.558 [Philosopher-11; Meals=0]: I'm alive!
12:47:22.558 [Philosopher-12; Meals=0]: I'm alive!
12:47:22.558 [Philosopher-13; Meals=0]: I'm alive!
12:47:22.558 [Philosopher-14; Meals=0]: I'm alive!
12:47:22.562 [Philosopher-15; Meals=0]: I'm alive!
12:47:22.564 [Philosopher-16; Meals=0]: I'm alive!
12:47:22.564 [Philosopher-17; Meals=0]: I'm alive!
12:47:22.564 [Philosopher-18; Meals=0]: I'm alive!
12:47:22.564 [Philosopher-19; Meals=0]: I'm alive!
12:47:22.565 [Philosopher-20; Meals=0]: I'm alive!
12:47:22.570 [Philosopher-21; Meals=0]: I'm alive!
12:47:22.570 [Philosopher-22; Meals=0]: I'm alive!
12:47:22.582 [Philosopher-47; Meals=0]: I'm alive!
12:47:22.582 [Philosopher-49; Meals=0]: I'm alive!
12:47:22.587 [Philosopher-45; Meals=0]: I'm alive!
12:47:22.587 [Philosopher-46; Meals=0]: I'm alive!
12:47:22.588 [Philosopher-48; Meals=0]: I'm alive!
12:47:22.588 [Philosopher-50; Meals=0]: I'm alive!
12:47:22.589 [Philosopher-41; Meals=0]: I'm alive!
12:47:22.589 [Philosopher-44; Meals=0]: I'm alive!
12:47:22.590 [Philosopher-35; Meals=0]: I'm alive!
12:47:22.590 [Philosopher-36; Meals=0]: I'm alive!
12:47:22.590 [Philosopher-38; Meals=0]: I'm alive!
12:47:22.590 [Philosopher-39; Meals=0]: I'm alive!
12:47:22.590 [Philosopher-40; Meals=0]: I'm alive!
12:47:22.590 [Philosopher-42; Meals=0]: I'm alive!
12:47:22.591 [Philosopher-37; Meals=0]: I'm alive!
12:47:22.592 [Philosopher-43; Meals=0]: I'm alive!
12:47:22.593 [Philosopher-34; Meals=0]: I'm alive!
12:47:22.594 [Philosopher-32; Meals=0]: I'm alive!
12:47:22.595 [Philosopher-27; Meals=0]: I'm alive!
12:47:22.595 [Philosopher-29; Meals=0]: I'm alive!
12:47:22.596 [Philosopher-25; Meals=0]: I'm alive!
12:47:22.597 [Philosopher-24; Meals=0]: I'm alive!
12:47:22.598 [Philosopher-23; Meals=0]: I'm alive!
12:47:22.598 [Philosopher-33; Meals=0]: I'm alive!
12:47:22.603 [Philosopher-26; Meals=0]: I'm alive!
12:47:22.603 [Philosopher-28; Meals=0]: I'm alive!
12:47:22.603 [Philosopher-30; Meals=0]: I'm alive!
12:47:22.603 [Philosopher-31; Meals=0]: I'm alive!
12:47:22.657 [Philosopher-14; Meals=0]: Waiting for a nice seat...
12:47:22.657 [Philosopher-25; Meals=0]: Waiting for a nice seat...
12:47:22.657 [Philosopher-6; Meals=0]: Waiting for a nice seat...
12:47:22.658 [Philosopher-29; Meals=0]: Waiting for a nice seat...
12:47:22.659 [Philosopher-15; Meals=0]: Waiting for a nice seat...
12:47:22.659 [Philosopher-24; Meals=0]: Waiting for a nice seat...
12:47:22.660 [Philosopher-13; Meals=0]: Waiting for a nice seat...
12:47:22.660 [Philosopher-30; Meals=0]: Waiting for a nice seat...
12:47:22.660 [Philosopher-9; Meals=0]: Waiting for a nice seat...
12:47:22.661 [Philosopher-27; Meals=0]: Waiting for a nice seat...
12:47:22.661 [Philosopher-8; Meals=0]: Waiting for a nice seat...
12:47:22.662 [Philosopher-11; Meals=0]: Waiting for a nice seat...
12:47:22.662 [Philosopher-16; Meals=0]: Waiting for a nice seat...
12:47:22.662 [Philosopher-2; Meals=0]: Waiting for a nice seat...
12:47:22.663 [Philosopher-1; Meals=0]: Waiting for a nice seat...
12:47:22.663 [Philosopher-21; Meals=0]: Waiting for a nice seat...
12:47:22.664 [Philosopher-7; Meals=0]: Waiting for a nice seat...
12:47:22.665 [Philosopher-5; Meals=0]: Waiting for a nice seat...
12:47:22.670 [Philosopher-37; Meals=0]: Waiting for a nice seat...
12:47:22.671 [Philosopher-33; Meals=0]: Waiting for a nice seat...
12:47:22.672 [Philosopher-35; Meals=0]: Waiting for a nice seat...
12:47:22.672 [Philosopher-36; Meals=0]: Waiting for a nice seat...
12:47:22.674 [Philosopher-41; Meals=0]: Waiting for a nice seat...
12:47:22.675 [Philosopher-19; Meals=0]: Waiting for a nice seat...
12:47:22.675 [Philosopher-23; Meals=0]: Waiting for a nice seat...
12:47:22.675 [Philosopher-4; Meals=0]: Waiting for a nice seat...
12:47:22.678 [Philosopher-18; Meals=0]: Waiting for a nice seat...
12:47:22.679 [Philosopher-28; Meals=0]: Waiting for a nice seat...
12:47:22.680 [Philosopher-32; Meals=0]: Waiting for a nice seat...
12:47:22.681 [Philosopher-42; Meals=0]: Waiting for a nice seat...
12:47:22.683 [Philosopher-46; Meals=0]: Waiting for a nice seat...
12:47:22.684 [Philosopher-40; Meals=0]: Waiting for a nice seat...
12:47:22.687 [Philosopher-39; Meals=0]: Waiting for a nice seat...
12:47:22.688 [Philosopher-20; Meals=0]: Waiting for a nice seat...
12:47:22.690 [Philosopher-22; Meals=0]: Waiting for a nice seat...
12:47:22.692 [Philosopher-17; Meals=0]: Waiting for a nice seat...
12:47:22.693 [Philosopher-10; Meals=0]: Waiting for a nice seat...
12:47:22.694 [Philosopher-43; Meals=0]: Waiting for a nice seat...
12:47:22.694 [Philosopher-50; Meals=0]: Waiting for a nice seat...
12:47:22.695 [Philosopher-45; Meals=0]: Waiting for a nice seat...
12:47:22.695 [Philosopher-49; Meals=0]: Waiting for a nice seat...
12:47:22.696 [Philosopher-34; Meals=0]: Waiting for a nice seat...
12:47:22.697 [Philosopher-38; Meals=0]: Waiting for a nice seat...
12:47:22.699 [Philosopher-12; Meals=0]: Waiting for a nice seat...
12:47:22.699 [Philosopher-26; Meals=0]: Waiting for a nice seat...
12:47:22.700 [Philosopher-3; Meals=0]: Waiting for a nice seat...
12:47:22.704 [Philosopher-48; Meals=0]: Waiting for a nice seat...
12:47:22.710 [Philosopher-47; Meals=0]: Waiting for a nice seat...
12:47:22.712 [Philosopher-44; Meals=0]: Waiting for a nice seat...
12:47:22.717 [Philosopher-6; Meals=0]: Found a nice seat (Chair-1)
12:47:22.718 [Philosopher-14; Meals=0]: Found a nice seat (Chair-2)
12:47:22.720 [Philosopher-25; Meals=0]: Found a nice seat (Chair-3)
12:47:22.721 [Philosopher-29; Meals=0]: Found a nice seat (Chair-4)
12:47:22.723 [Philosopher-15; Meals=0]: Found a nice seat (Chair-5)
12:47:22.725 [Philosopher-31; Meals=0]: Waiting for a nice seat...
12:47:22.728 [Philosopher-24; Meals=0]: Found a nice seat (Chair-6)
12:47:22.731 [Philosopher-13; Meals=0]: Found a nice seat (Chair-7)
12:47:22.732 [Philosopher-8; Meals=0]: Found a nice seat (Chair-8)
12:47:22.734 [Philosopher-30; Meals=0]: Found a nice seat (Chair-10)
12:47:22.735 [Philosopher-9; Meals=0]: Found a nice seat (Chair-9)
12:47:24.318 [Philosopher-29; Meals=0]: Waiting for 2 forks...
12:47:24.320 [Philosopher-14; Meals=0]: Waiting for 2 forks...
12:47:24.326 [Philosopher-6; Meals=0]: Waiting for 2 forks...
12:47:24.463 [Philosopher-15; Meals=0]: Waiting for 2 forks...
12:47:24.463 [Philosopher-25; Meals=0]: Waiting for 2 forks...
12:47:24.544 [Philosopher-24; Meals=0]: Waiting for 2 forks...
12:47:24.662 [Philosopher-8; Meals=0]: Waiting for 2 forks...
12:47:24.688 [Philosopher-13; Meals=0]: Waiting for 2 forks...
12:47:24.986 [Philosopher-14; Meals=0]: Picked up fork (Fork-2 from Chair-2)
12:47:24.986 [Philosopher-29; Meals=0]: Picked up fork (Fork-4 from Chair-4)
12:47:24.986 [Philosopher-30; Meals=0]: Waiting for 2 forks...
12:47:24.986 [Philosopher-9; Meals=0]: Waiting for 2 forks...
12:47:24.988 [Philosopher-15; Meals=0]: Picked up fork (Fork-5 from Chair-5)
12:47:25.029 [Philosopher-6; Meals=0]: Picked up fork (Fork-1 from Chair-1)
