13:11:30.809 [Hungry-Philosopher-1; Meals=0]: I'm alive!
13:11:30.809 [Hungry-Philosopher-2; Meals=0]: I'm alive!
13:11:30.809 [Hungry-Philosopher-3; Meals=0]: I'm alive!
13:11:30.809 [Hungry-Philosopher-4; Meals=0]: I'm alive!
13:11:30.809 [Hungry-Philosopher-5; Meals=0]: I'm alive!
13:11:30.868 [Hungry-Philosopher-3; Meals=0]: Waiting for a nice seat...
13:11:30.868 [Hungry-Philosopher-4; Meals=0]: Waiting for a nice seat...
13:11:30.869 [Hungry-Philosopher-2; Meals=0]: Waiting for a nice seat...
13:11:30.870 [Hungry-Philosopher-1; Meals=0]: Waiting for a nice seat...
13:11:30.871 [Hungry-Philosopher-5; Meals=0]: Waiting for a nice seat...
13:11:30.873 [Hungry-Philosopher-3; Meals=0]: Found a nice seat (Chair-1)
13:11:30.877 [Hungry-Philosopher-1; Meals=0]: Found a nice seat (Chair-2)
13:11:30.878 [Hungry-Philosopher-2; Meals=0]: Found a nice seat (Chair-3)
13:11:30.878 [Hungry-Philosopher-4; Meals=0]: Found a nice seat (Chair-4)
13:11:30.879 [Hungry-Philosopher-5; Meals=0]: Found a nice seat (Chair-5)
13:11:30.881 [Hungry-Philosopher-1; Meals=0]: Waiting for 2 forks...
13:11:30.883 [Hungry-Philosopher-3; Meals=0]: Waiting for 2 forks...
13:11:30.886 [Hungry-Philosopher-4; Meals=0]: Waiting for 2 forks...
13:11:30.887 [Hungry-Philosopher-5; Meals=0]: Waiting for 2 forks...
13:11:30.893 [Hungry-Philosopher-2; Meals=0]: Waiting for 2 forks...
13:11:30.898 [Hungry-Philosopher-1; Meals=0]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
13:11:30.914 [Hungry-Philosopher-5; Meals=0]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
13:11:30.929 [Hungry-Philosopher-1; Meals=1]: Eating for 1 ms
13:11:30.991 [Hungry-Philosopher-5; Meals=1]: Eating for 1 ms
13:11:31.012 [Hungry-Philosopher-1; Meals=1]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
13:11:31.042 [Hungry-Philosopher-1; Meals=1]: Stand up from seat (Chair-2)
13:11:31.048 [Hungry-Philosopher-2; Meals=0]: Found 2 forks (Fork-3 from Chair-3, Fork-2 from Chair-2)! :D
13:11:31.052 [Hungry-Philosopher-5; Meals=1]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
13:11:31.109 [Hungry-Philosopher-2; Meals=1]: Eating for 1 ms
13:11:31.125 [Hungry-Philosopher-5; Meals=1]: Stand up from seat (Chair-5)
13:11:31.126 [Hungry-Philosopher-1; Meals=1]: Mediating for 5 ms
13:11:31.128 [Hungry-Philosopher-3; Meals=0]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
13:11:31.139 [Hungry-Philosopher-2; Meals=1]: Release my forks (Fork-3 from Chair-3, Fork-2 from Chair-2)
13:11:31.139 [Hungry-Philosopher-3; Meals=1]: Eating for 1 ms
13:11:31.141 [Hungry-Philosopher-5; Meals=1]: Mediating for 5 ms
13:11:31.144 [Hungry-Philosopher-1; Meals=1]: Waiting for a nice seat...
13:11:31.151 [Hungry-Philosopher-2; Meals=1]: Stand up from seat (Chair-3)
13:11:31.151 [Hungry-Philosopher-4; Meals=0]: Found 2 forks (Fork-4 from Chair-4, Fork-3 from Chair-3)! :D
13:11:31.153 [Hungry-Philosopher-3; Meals=1]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
13:11:31.159 [Hungry-Philosopher-1; Meals=1]: Found a nice seat (Chair-2)
13:11:31.164 [Hungry-Philosopher-2; Meals=1]: Mediating for 5 ms
13:11:31.167 [Hungry-Philosopher-5; Meals=1]: Waiting for a nice seat...
13:11:31.172 [Hungry-Philosopher-1; Meals=1]: Waiting for 2 forks...
13:11:31.176 [Hungry-Philosopher-3; Meals=1]: Stand up from seat (Chair-1)
13:11:31.178 [Hungry-Philosopher-4; Meals=1]: Eating for 1 ms
13:11:31.183 [Hungry-Philosopher-2; Meals=1]: Waiting for a nice seat...
13:11:31.188 [Hungry-Philosopher-1; Meals=1]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
13:11:31.190 [Hungry-Philosopher-5; Meals=1]: Found a nice seat (Chair-5)
13:11:31.196 [Hungry-Philosopher-3; Meals=1]: Mediating for 5 ms
13:11:31.197 [Hungry-Philosopher-2; Meals=1]: Found a nice seat (Chair-3)
13:11:31.199 [Hungry-Philosopher-1; Meals=2]: Eating for 1 ms
13:11:31.204 [Hungry-Philosopher-4; Meals=1]: Release my forks (Fork-4 from Chair-4, Fork-3 from Chair-3)
13:11:31.211 [Hungry-Philosopher-5; Meals=1]: Waiting for 2 forks...
13:11:31.218 [Hungry-Philosopher-2; Meals=1]: Waiting for 2 forks...
13:11:31.220 [Hungry-Philosopher-3; Meals=1]: Waiting for a nice seat...
13:11:31.224 [Hungry-Philosopher-4; Meals=1]: Stand up from seat (Chair-4)
13:11:31.227 [Hungry-Philosopher-1; Meals=2]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
13:11:31.232 [Hungry-Philosopher-5; Meals=1]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
13:11:31.239 [Hungry-Philosopher-3; Meals=1]: Found a nice seat (Chair-1)
13:11:31.244 [Hungry-Philosopher-4; Meals=1]: Mediating for 5 ms
