12:51:22.096 [Philosopher-2; Meals=0]: I'm alive!
12:51:22.101 [Philosopher-1; Meals=0]: I'm alive!
12:51:22.111 [Philosopher-3; Meals=0]: I'm alive!
12:51:22.161 [Philosopher-50; Meals=0]: I'm alive!
12:51:22.163 [Philosopher-45; Meals=0]: I'm alive!
12:51:22.163 [Philosopher-46; Meals=0]: I'm alive!
12:51:22.163 [Philosopher-47; Meals=0]: I'm alive!
12:51:22.163 [Philosopher-48; Meals=0]: I'm alive!
12:51:22.163 [Philosopher-49; Meals=0]: I'm alive!
12:51:22.164 [Philosopher-40; Meals=0]: I'm alive!
12:51:22.164 [Philosopher-41; Meals=0]: I'm alive!
12:51:22.164 [Philosopher-42; Meals=0]: I'm alive!
12:51:22.164 [Philosopher-43; Meals=0]: I'm alive!
12:51:22.164 [Philosopher-44; Meals=0]: I'm alive!
12:51:22.165 [Philosopher-37; Meals=0]: I'm alive!
12:51:22.165 [Philosopher-39; Meals=0]: I'm alive!
12:51:22.166 [Philosopher-34; Meals=0]: I'm alive!
12:51:22.166 [Philosopher-35; Meals=0]: I'm alive!
12:51:22.166 [Philosopher-36; Meals=0]: I'm alive!
12:51:22.167 [Philosopher-30; Meals=0]: I'm alive!
12:51:22.167 [Philosopher-31; Meals=0]: I'm alive!
12:51:22.167 [Philosopher-32; Meals=0]: I'm alive!
12:51:22.167 [Philosopher-33; Meals=0]: I'm alive!
12:51:22.168 [Philosopher-25; Meals=0]: I'm alive!
12:51:22.168 [Philosopher-26; Meals=0]: I'm alive!
12:51:22.168 [Philosopher-27; Meals=0]: I'm alive!
12:51:22.168 [Philosopher-28; Meals=0]: I'm alive!
12:51:22.168 [Philosopher-29; Meals=0]: I'm alive!
12:51:22.169 [Philosopher-20; Meals=0]: I'm alive!
12:51:22.169 [Philosopher-21; Meals=0]: I'm alive!
12:51:22.169 [Philosopher-22; Meals=0]: I'm alive!
12:51:22.169 [Philosopher-23; Meals=0]: I'm alive!
12:51:22.169 [Philosopher-24; Meals=0]: I'm alive!
12:51:22.176 [Philosopher-15; Meals=0]: I'm alive!
12:51:22.177 [Philosopher-10; Meals=0]: I'm alive!
12:51:22.177 [Philosopher-11; Meals=0]: I'm alive!
12:51:22.177 [Philosopher-12; Meals=0]: I'm alive!
12:51:22.177 [Philosopher-13; Meals=0]: I'm alive!
12:51:22.177 [Philosopher-14; Meals=0]: I'm alive!
12:51:22.177 [Philosopher-9; Meals=0]: I'm alive!
12:51:22.178 [Philosopher-18; Meals=0]: I'm alive!
12:51:22.178 [Philosopher-19; Meals=0]: I'm alive!
12:51:22.178 [Philosopher-38; Meals=0]: I'm alive!
12:51:22.178 [Philosopher-4; Meals=0]: I'm alive!
12:51:22.178 [Philosopher-5; Meals=0]: I'm alive!
12:51:22.178 [Philosopher-6; Meals=0]: I'm alive!
12:51:22.178 [Philosopher-7; Meals=0]: I'm alive!
12:51:22.178 [Philosopher-8; Meals=0]: I'm alive!
12:51:22.179 [Philosopher-16; Meals=0]: I'm alive!
12:51:22.179 [Philosopher-17; Meals=0]: I'm alive!
12:51:22.252 [Philosopher-7; Meals=0]: Waiting for a nice seat...
12:51:22.256 [Philosopher-40; Meals=0]: Waiting for a nice seat...
12:51:22.256 [Philosopher-49; Meals=0]: Waiting for a nice seat...
12:51:22.270 [Philosopher-23; Meals=0]: Waiting for a nice seat...
12:51:22.278 [Philosopher-42; Meals=0]: Waiting for a nice seat...
12:51:22.281 [Philosopher-50; Meals=0]: Waiting for a nice seat...
12:51:22.285 [Philosopher-43; Meals=0]: Waiting for a nice seat...
12:51:22.287 [Philosopher-9; Meals=0]: Waiting for a nice seat...
12:51:22.301 [Philosopher-30; Meals=0]: Waiting for a nice seat...
12:51:22.311 [Philosopher-45; Meals=0]: Waiting for a nice seat...
12:51:22.312 [Philosopher-16; Meals=0]: Waiting for a nice seat...
12:51:22.320 [Philosopher-29; Meals=0]: Waiting for a nice seat...
12:51:22.321 [Philosopher-28; Meals=0]: Waiting for a nice seat...
12:51:22.323 [Philosopher-13; Meals=0]: Waiting for a nice seat...
12:51:22.325 [Philosopher-5; Meals=0]: Waiting for a nice seat...
12:51:22.328 [Philosopher-26; Meals=0]: Waiting for a nice seat...
