12:04:47.548 [Hungry-Philosopher-1; Meals=0]: I'm alive!
12:04:47.548 [Philosopher-2; Meals=0]: I'm alive!
12:04:47.549 [Philosopher-3; Meals=0]: I'm alive!
12:04:47.549 [Philosopher-4; Meals=0]: I'm alive!
12:04:47.602 [Philosopher-2; Meals=0]: Waiting for a nice seat...
12:04:47.602 [Philosopher-4; Meals=0]: Waiting for a nice seat...
12:04:47.608 [Hungry-Philosopher-1; Meals=0]: Waiting for a nice seat...
12:04:47.611 [Philosopher-3; Meals=0]: Waiting for a nice seat...
12:04:47.630 [Philosopher-2; Meals=0]: Found a nice seat (Chair-1)
12:04:47.632 [Philosopher-4; Meals=0]: Found a nice seat (Chair-2)
12:04:47.634 [Hungry-Philosopher-1; Meals=0]: Found a nice seat (Chair-3)
12:04:47.636 [Philosopher-2; Meals=0]: Waiting for 2 forks...
12:04:47.638 [Philosopher-3; Meals=0]: Found a nice seat (Chair-4)
12:04:47.642 [Philosopher-4; Meals=0]: Waiting for 2 forks...
12:04:47.644 [Hungry-Philosopher-1; Meals=0]: Waiting for 2 forks...
12:04:47.649 [Philosopher-3; Meals=0]: Waiting for 2 forks...
12:04:47.651 [Philosopher-2; Meals=0]: Picked up fork (Fork-1 from Chair-1)
12:04:47.655 [Philosopher-4; Meals=0]: Picked up fork (Fork-2 from Chair-2)
12:04:47.658 [Hungry-Philosopher-1; Meals=0]: Picked up fork (Fork-3 from Chair-3)
12:04:47.663 [Philosopher-2; Meals=0]: Picked up fork (Fork-1 from Chair-1)
12:04:47.675 [Philosopher-4; Meals=0]: Release my fork (Fork-2 from Chair-2)
12:04:47.677 [Hungry-Philosopher-1; Meals=0]: Release my fork (Fork-3 from Chair-3)
12:04:47.687 [Philosopher-2; Meals=0]: Found 2 forks! :D
12:04:47.696 [Philosopher-2; Meals=1]: Eating for 1 ms
12:04:47.706 [Philosopher-2; Meals=1]: Release my fork (Fork-4 from Chair-4)
12:04:47.716 [Philosopher-2; Meals=1]: Release my fork (Fork-1 from Chair-1)
12:04:47.726 [Philosopher-2; Meals=1]: Stand up from seat (Chair-1)
12:04:47.736 [Philosopher-2; Meals=1]: Mediating for 5 ms
