11:29:59.257 [Hungry-Philosopher-1; Meals=0]: I'm alive!
11:29:59.257 [Hungry-Philosopher-2; Meals=0]: I'm alive!
11:29:59.257 [Hungry-Philosopher-3; Meals=0]: I'm alive!
11:29:59.257 [Hungry-Philosopher-4; Meals=0]: I'm alive!
11:29:59.257 [Hungry-Philosopher-5; Meals=0]: I'm alive!
11:29:59.305 [Hungry-Philosopher-2; Meals=0]: Waiting for a nice seat...
11:29:59.305 [Hungry-Philosopher-5; Meals=0]: Waiting for a nice seat...
11:29:59.306 [Hungry-Philosopher-3; Meals=0]: Waiting for a nice seat...
11:29:59.308 [Hungry-Philosopher-4; Meals=0]: Waiting for a nice seat...
11:29:59.309 [Hungry-Philosopher-1; Meals=0]: Waiting for a nice seat...
11:29:59.322 [Hungry-Philosopher-3; Meals=0]: Found a nice seat (Chair-5)
11:29:59.322 [Hungry-Philosopher-5; Meals=0]: Found a nice seat (Chair-3)
11:29:59.325 [Hungry-Philosopher-4; Meals=0]: Found a nice seat (Chair-2)
11:29:59.328 [Hungry-Philosopher-1; Meals=0]: Found a nice seat (Chair-4)
11:29:59.328 [Hungry-Philosopher-2; Meals=0]: Found a nice seat (Chair-1)
11:29:59.329 [Hungry-Philosopher-3; Meals=0]: Waiting for 2 forks...
11:29:59.330 [Hungry-Philosopher-4; Meals=0]: Waiting for 2 forks...
11:29:59.333 [Hungry-Philosopher-1; Meals=0]: Waiting for 2 forks...
11:29:59.339 [Hungry-Philosopher-5; Meals=0]: Waiting for 2 forks...
11:29:59.342 [Hungry-Philosopher-2; Meals=0]: Waiting for 2 forks...
11:29:59.354 [Hungry-Philosopher-3; Meals=0]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
11:29:59.354 [Hungry-Philosopher-4; Meals=0]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
11:29:59.381 [Hungry-Philosopher-4; Meals=1]: Eating for 1 ms
11:29:59.436 [Hungry-Philosopher-3; Meals=1]: Eating for 1 ms
11:29:59.452 [Hungry-Philosopher-4; Meals=1]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
11:29:59.533 [Hungry-Philosopher-5; Meals=0]: Found 2 forks (Fork-3 from Chair-3, Fork-2 from Chair-2)! :D
11:29:59.535 [Hungry-Philosopher-4; Meals=1]: Stand up from seat (Chair-2)
11:29:59.555 [Hungry-Philosopher-3; Meals=1]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
11:29:59.579 [Hungry-Philosopher-4; Meals=1]: Mediating for 5 ms
11:29:59.580 [Hungry-Philosopher-5; Meals=1]: Eating for 1 ms
11:29:59.614 [Hungry-Philosopher-2; Meals=0]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:29:59.614 [Hungry-Philosopher-3; Meals=1]: Stand up from seat (Chair-5)
11:29:59.618 [Hungry-Philosopher-4; Meals=1]: Waiting for a nice seat...
11:29:59.628 [Hungry-Philosopher-5; Meals=1]: Release my forks (Fork-3 from Chair-3, Fork-2 from Chair-2)
11:29:59.638 [Hungry-Philosopher-3; Meals=1]: Mediating for 5 ms
11:29:59.638 [Hungry-Philosopher-4; Meals=1]: Found a nice seat (Chair-2)
11:29:59.640 [Hungry-Philosopher-2; Meals=1]: Eating for 1 ms
11:29:59.656 [Hungry-Philosopher-4; Meals=1]: Waiting for 2 forks...
11:29:59.658 [Hungry-Philosopher-1; Meals=0]: Found 2 forks (Fork-4 from Chair-4, Fork-3 from Chair-3)! :D
11:29:59.658 [Hungry-Philosopher-5; Meals=1]: Stand up from seat (Chair-3)
11:29:59.662 [Hungry-Philosopher-3; Meals=1]: Waiting for a nice seat...
11:29:59.676 [Hungry-Philosopher-2; Meals=1]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:29:59.681 [Hungry-Philosopher-1; Meals=1]: Eating for 1 ms
11:29:59.687 [Hungry-Philosopher-5; Meals=1]: Mediating for 5 ms
11:29:59.688 [Hungry-Philosopher-3; Meals=1]: Found a nice seat (Chair-5)
11:29:59.706 [Hungry-Philosopher-2; Meals=1]: Stand up from seat (Chair-1)
11:29:59.706 [Hungry-Philosopher-4; Meals=1]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
11:29:59.708 [Hungry-Philosopher-3; Meals=1]: Waiting for 2 forks...
11:29:59.712 [Hungry-Philosopher-1; Meals=1]: Release my forks (Fork-4 from Chair-4, Fork-3 from Chair-3)
11:29:59.718 [Hungry-Philosopher-4; Meals=2]: Eating for 1 ms
11:29:59.726 [Hungry-Philosopher-2; Meals=1]: Mediating for 5 ms
11:29:59.728 [Hungry-Philosopher-5; Meals=1]: Waiting for a nice seat...
11:29:59.738 [Hungry-Philosopher-1; Meals=1]: Stand up from seat (Chair-4)
11:29:59.738 [Hungry-Philosopher-3; Meals=1]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
11:29:59.739 [Hungry-Philosopher-4; Meals=2]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
11:29:59.749 [Hungry-Philosopher-5; Meals=1]: Found a nice seat (Chair-1)
11:29:59.751 [Hungry-Philosopher-3; Meals=2]: Eating for 1 ms
11:29:59.761 [Hungry-Philosopher-1; Meals=1]: Mediating for 5 ms
11:29:59.761 [Hungry-Philosopher-2; Meals=1]: Waiting for a nice seat...
11:29:59.766 [Hungry-Philosopher-4; Meals=2]: Stand up from seat (Chair-2)
11:29:59.773 [Hungry-Philosopher-5; Meals=1]: Waiting for 2 forks...
11:29:59.775 [Hungry-Philosopher-3; Meals=2]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
11:29:59.779 [Hungry-Philosopher-2; Meals=1]: Found a nice seat (Chair-4)
11:29:59.786 [Hungry-Philosopher-4; Meals=2]: Mediating for 5 ms
11:29:59.790 [Hungry-Philosopher-1; Meals=1]: Waiting for a nice seat...
11:29:59.806 [Hungry-Philosopher-3; Meals=2]: Stand up from seat (Chair-5)
11:29:59.806 [Hungry-Philosopher-5; Meals=1]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:29:59.818 [Hungry-Philosopher-2; Meals=1]: Waiting for 2 forks...
11:29:59.826 [Hungry-Philosopher-3; Meals=2]: Mediating for 5 ms
11:29:59.828 [Hungry-Philosopher-1; Meals=1]: Found a nice seat (Chair-2)
11:29:59.828 [Hungry-Philosopher-4; Meals=2]: Waiting for a nice seat...
11:29:59.838 [Hungry-Philosopher-2; Meals=1]: Found 2 forks (Fork-4 from Chair-4, Fork-3 from Chair-3)! :D
11:29:59.838 [Hungry-Philosopher-5; Meals=2]: Eating for 1 ms
11:29:59.842 [Hungry-Philosopher-4; Meals=2]: Found a nice seat (Chair-5)
11:29:59.847 [Hungry-Philosopher-1; Meals=1]: Waiting for 2 forks...
11:29:59.848 [Hungry-Philosopher-3; Meals=2]: Waiting for a nice seat...
11:29:59.848 [Hungry-Philosopher-5; Meals=2]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:29:59.860 [Hungry-Philosopher-2; Meals=2]: Eating for 1 ms
11:29:59.862 [Hungry-Philosopher-4; Meals=2]: Waiting for 2 forks...
11:29:59.862 [Hungry-Philosopher-5; Meals=2]: Stand up from seat (Chair-1)
11:29:59.863 [Hungry-Philosopher-1; Meals=1]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
11:29:59.872 [Hungry-Philosopher-5; Meals=2]: Mediating for 5 ms
11:29:59.876 [Hungry-Philosopher-3; Meals=2]: Found a nice seat (Chair-1)
11:29:59.887 [Hungry-Philosopher-1; Meals=2]: Eating for 1 ms
11:29:59.887 [Hungry-Philosopher-3; Meals=2]: Waiting for 2 forks...
11:29:59.889 [Hungry-Philosopher-2; Meals=2]: Release my forks (Fork-4 from Chair-4, Fork-3 from Chair-3)
11:29:59.894 [Hungry-Philosopher-5; Meals=2]: Waiting for a nice seat...
11:29:59.918 [Hungry-Philosopher-2; Meals=2]: Stand up from seat (Chair-4)
11:29:59.918 [Hungry-Philosopher-4; Meals=2]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
11:29:59.920 [Hungry-Philosopher-1; Meals=2]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
11:29:59.933 [Hungry-Philosopher-2; Meals=2]: Mediating for 5 ms
11:29:59.942 [Hungry-Philosopher-1; Meals=2]: Stand up from seat (Chair-2)
11:29:59.942 [Hungry-Philosopher-5; Meals=2]: Found a nice seat (Chair-4)
11:29:59.951 [Hungry-Philosopher-4; Meals=3]: Eating for 1 ms
11:29:59.956 [Hungry-Philosopher-1; Meals=2]: Mediating for 5 ms
11:29:59.968 [Hungry-Philosopher-2; Meals=2]: Waiting for a nice seat...
11:29:59.972 [Hungry-Philosopher-5; Meals=2]: Waiting for 2 forks...
11:29:59.979 [Hungry-Philosopher-4; Meals=3]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
11:29:59.985 [Hungry-Philosopher-1; Meals=2]: Waiting for a nice seat...
11:29:59.998 [Hungry-Philosopher-2; Meals=2]: Found a nice seat (Chair-2)
11:30:00.029 [Hungry-Philosopher-3; Meals=2]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:30:00.029 [Hungry-Philosopher-4; Meals=3]: Stand up from seat (Chair-5)
11:30:00.030 [Hungry-Philosopher-5; Meals=2]: Found 2 forks (Fork-4 from Chair-4, Fork-3 from Chair-3)! :D
11:30:00.035 [Hungry-Philosopher-2; Meals=2]: Waiting for 2 forks...
11:30:00.042 [Hungry-Philosopher-3; Meals=3]: Eating for 1 ms
11:30:00.050 [Hungry-Philosopher-4; Meals=3]: Mediating for 5 ms
11:30:00.054 [Hungry-Philosopher-1; Meals=2]: Found a nice seat (Chair-5)
11:30:00.057 [Hungry-Philosopher-5; Meals=3]: Eating for 1 ms
11:30:00.073 [Hungry-Philosopher-3; Meals=3]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:30:00.079 [Hungry-Philosopher-1; Meals=2]: Waiting for 2 forks...
11:30:00.091 [Hungry-Philosopher-4; Meals=3]: Sleeping for 10 ms
11:30:00.102 [Hungry-Philosopher-5; Meals=3]: Release my forks (Fork-4 from Chair-4, Fork-3 from Chair-3)
11:30:00.111 [Hungry-Philosopher-2; Meals=2]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
11:30:00.119 [Hungry-Philosopher-3; Meals=3]: Stand up from seat (Chair-1)
11:30:00.142 [Hungry-Philosopher-1; Meals=2]: Found 2 forks (Fork-5 from Chair-5, Fork-4 from Chair-4)! :D
11:30:00.142 [Hungry-Philosopher-5; Meals=3]: Stand up from seat (Chair-4)
11:30:00.143 [Hungry-Philosopher-2; Meals=3]: Eating for 1 ms
11:30:00.144 [Hungry-Philosopher-3; Meals=3]: Mediating for 5 ms
11:30:00.152 [Hungry-Philosopher-4; Meals=3]: Waiting for a nice seat...
11:30:00.153 [Hungry-Philosopher-1; Meals=3]: Eating for 1 ms
11:30:00.162 [Hungry-Philosopher-5; Meals=3]: Mediating for 5 ms
11:30:00.201 [Hungry-Philosopher-2; Meals=3]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
11:30:00.201 [Hungry-Philosopher-4; Meals=3]: Found a nice seat (Chair-1)
11:30:00.202 [Hungry-Philosopher-1; Meals=3]: Release my forks (Fork-5 from Chair-5, Fork-4 from Chair-4)
11:30:00.214 [Hungry-Philosopher-3; Meals=3]: Sleeping for 10 ms
11:30:00.216 [Hungry-Philosopher-2; Meals=3]: Stand up from seat (Chair-2)
11:30:00.218 [Hungry-Philosopher-4; Meals=3]: Waiting for 2 forks...
11:30:00.227 [Hungry-Philosopher-5; Meals=3]: Sleeping for 10 ms
11:30:00.239 [Hungry-Philosopher-1; Meals=3]: Stand up from seat (Chair-5)
11:30:00.247 [Hungry-Philosopher-4; Meals=3]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:30:00.250 [Hungry-Philosopher-2; Meals=3]: Mediating for 5 ms
11:30:00.263 [Hungry-Philosopher-3; Meals=3]: Waiting for a nice seat...
11:30:00.266 [Hungry-Philosopher-4; Meals=4]: Eating for 1 ms
11:30:00.269 [Hungry-Philosopher-1; Meals=3]: Mediating for 5 ms
11:30:00.276 [Hungry-Philosopher-2; Meals=3]: Sleeping for 10 ms
11:30:00.279 [Hungry-Philosopher-5; Meals=3]: Waiting for a nice seat...
11:30:00.286 [Hungry-Philosopher-3; Meals=3]: Found a nice seat (Chair-2)
11:30:00.293 [Hungry-Philosopher-1; Meals=3]: Sleeping for 10 ms
11:30:00.297 [Hungry-Philosopher-3; Meals=3]: Waiting for 2 forks...
11:30:00.301 [Hungry-Philosopher-4; Meals=4]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:30:00.320 [Hungry-Philosopher-3; Meals=3]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
11:30:00.320 [Hungry-Philosopher-4; Meals=4]: Stand up from seat (Chair-1)
11:30:00.321 [Hungry-Philosopher-1; Meals=3]: Waiting for a nice seat...
11:30:00.321 [Hungry-Philosopher-2; Meals=3]: Waiting for a nice seat...
11:30:00.331 [Hungry-Philosopher-4; Meals=4]: Mediating for 5 ms
11:30:00.341 [Hungry-Philosopher-3; Meals=4]: Eating for 1 ms
11:30:00.343 [Hungry-Philosopher-5; Meals=3]: Found a nice seat (Chair-1)
11:30:00.355 [Hungry-Philosopher-3; Meals=4]: Release my forks (Fork-2 from Chair-2, Fork-1 from Chair-1)
11:30:00.365 [Hungry-Philosopher-4; Meals=4]: Waiting for a nice seat...
11:30:00.368 [Hungry-Philosopher-5; Meals=3]: Waiting for 2 forks...
11:30:00.374 [Hungry-Philosopher-3; Meals=4]: Stand up from seat (Chair-2)
11:30:00.381 [Hungry-Philosopher-5; Meals=3]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:30:00.388 [Hungry-Philosopher-1; Meals=3]: Found a nice seat (Chair-2)
11:30:00.388 [Hungry-Philosopher-3; Meals=4]: Mediating for 5 ms
11:30:00.397 [Hungry-Philosopher-5; Meals=4]: Eating for 1 ms
11:30:00.402 [Hungry-Philosopher-1; Meals=3]: Waiting for 2 forks...
11:30:00.410 [Hungry-Philosopher-3; Meals=4]: Waiting for a nice seat...
11:30:00.411 [Hungry-Philosopher-5; Meals=4]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:30:00.422 [Hungry-Philosopher-1; Meals=3]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
11:30:00.422 [Hungry-Philosopher-5; Meals=4]: Stand up from seat (Chair-1)
11:30:00.432 [Hungry-Philosopher-1; Meals=4]: Eating for 1 ms
11:30:00.432 [Hungry-Philosopher-3; Meals=4]: Found a nice seat (Chair-1)
11:30:00.432 [Hungry-Philosopher-5; Meals=4]: Mediating for 5 ms
