11:17:54.759 [Hungry-Philosopher-1; Meals=0]: I'm alive!
11:17:54.759 [Hungry-Philosopher-2; Meals=0]: I'm alive!
11:17:54.759 [Hungry-Philosopher-3; Meals=0]: I'm alive!
11:17:54.759 [Hungry-Philosopher-4; Meals=0]: I'm alive!
11:17:54.759 [Hungry-Philosopher-5; Meals=0]: I'm alive!
11:17:54.812 [Hungry-Philosopher-1; Meals=0]: Waiting for a nice seat...
11:17:54.812 [Hungry-Philosopher-4; Meals=0]: Waiting for a nice seat...
11:17:54.812 [Hungry-Philosopher-5; Meals=0]: Waiting for a nice seat...
11:17:54.813 [Hungry-Philosopher-3; Meals=0]: Waiting for a nice seat...
11:17:54.815 [Hungry-Philosopher-2; Meals=0]: Waiting for a nice seat...
11:17:54.828 [Hungry-Philosopher-1; Meals=0]: Found a nice seat (Chair-5)
11:17:54.828 [Hungry-Philosopher-2; Meals=0]: Found a nice seat (Chair-4)
11:17:54.828 [Hungry-Philosopher-3; Meals=0]: Found a nice seat (Chair-2)
11:17:54.829 [Hungry-Philosopher-4; Meals=0]: Found a nice seat (Chair-1)
11:17:54.829 [Hungry-Philosopher-5; Meals=0]: Found a nice seat (Chair-3)
11:17:54.833 [Hungry-Philosopher-3; Meals=0]: Waiting for 2 forks...
11:17:54.838 [Hungry-Philosopher-1; Meals=0]: Waiting for 2 forks...
11:17:54.838 [Hungry-Philosopher-4; Meals=0]: Waiting for 2 forks...
11:17:54.841 [Hungry-Philosopher-2; Meals=0]: Waiting for 2 forks...
11:17:54.847 [Hungry-Philosopher-5; Meals=0]: Waiting for 2 forks...
11:17:54.856 [Hungry-Philosopher-4; Meals=0]: Found 2 forks (Fork-1 from Chair-1, Fork-5 from Chair-5)! :D
11:17:54.870 [Hungry-Philosopher-2; Meals=0]: Found 2 forks (Fork-4 from Chair-4, Fork-3 from Chair-3)! :D
11:17:54.886 [Hungry-Philosopher-4; Meals=1]: Eating for 1 ms
11:17:54.925 [Hungry-Philosopher-4; Meals=1]: Release my forks (Fork-1 from Chair-1, Fork-5 from Chair-5)
11:17:54.944 [Hungry-Philosopher-2; Meals=1]: Eating for 1 ms
11:17:55.014 [Hungry-Philosopher-4; Meals=1]: Stand up from seat (Chair-1)
11:17:55.019 [Hungry-Philosopher-3; Meals=0]: Found 2 forks (Fork-2 from Chair-2, Fork-1 from Chair-1)! :D
11:17:55.059 [Hungry-Philosopher-3; Meals=1]: Eating for 1 ms
11:17:55.059 [Hungry-Philosopher-4; Meals=1]: Mediating for 5 ms
11:17:55.061 [Hungry-Philosopher-2; Meals=1]: Release my forks (Fork-4 from Chair-4, Fork-3 from Chair-3)
