11:54:06.717 [Philosopher-1; Meals=0]: I'm alive!
11:54:06.717 [Philosopher-2; Meals=0]: I'm alive!
11:54:06.717 [Philosopher-3; Meals=0]: I'm alive!
11:54:06.717 [Philosopher-4; Meals=0]: I'm alive!
11:54:06.773 [Philosopher-1; Meals=0]: Waiting for a nice seat...
11:54:06.773 [Philosopher-3; Meals=0]: Waiting for a nice seat...
11:54:06.773 [Philosopher-4; Meals=0]: Waiting for a nice seat...
11:54:06.776 [Philosopher-2; Meals=0]: Waiting for a nice seat...
11:54:06.788 [Philosopher-2; Meals=0]: Found a nice seat (Chair-1)
11:54:06.789 [Philosopher-3; Meals=0]: Found a nice seat (Chair-2)
11:54:06.791 [Philosopher-1; Meals=0]: Found a nice seat (Chair-3)
11:54:06.793 [Philosopher-4; Meals=0]: Found a nice seat (Chair-4)
11:54:06.798 [Philosopher-2; Meals=0]: Waiting for 2 forks...
11:54:06.798 [Philosopher-3; Meals=0]: Waiting for 2 forks...
11:54:06.801 [Philosopher-1; Meals=0]: Waiting for 2 forks...
11:54:06.809 [Philosopher-4; Meals=0]: Waiting for 2 forks...
11:54:06.810 [Philosopher-2; Meals=0]: Picked up fork (Fork-1 from Chair-1)
11:54:06.820 [Philosopher-3; Meals=0]: Picked up fork (Fork-2 from Chair-2)
11:54:06.821 [Philosopher-1; Meals=0]: Picked up fork (Fork-3 from Chair-3)
11:54:06.821 [Philosopher-4; Meals=0]: Picked up fork (Fork-4 from Chair-4)
11:54:06.836 [Philosopher-2; Meals=0]: Release my fork (Fork-1 from Chair-1)
11:54:06.836 [Philosopher-3; Meals=0]: Release my fork (Fork-2 from Chair-2)
11:54:06.837 [Philosopher-4; Meals=0]: Release my fork (Fork-4 from Chair-4)
11:54:06.838 [Philosopher-1; Meals=0]: Release my fork (Fork-3 from Chair-3)
11:54:06.985 [Philosopher-1; Meals=0]: Picked up fork (Fork-3 from Chair-3)
11:54:06.995 [Philosopher-1; Meals=0]: Picked up fork (Fork-3 from Chair-3)
11:54:07.005 [Philosopher-1; Meals=0]: Found 2 forks! :D
11:54:07.016 [Philosopher-1; Meals=1]: Eating for 1 ms
11:54:07.027 [Philosopher-1; Meals=1]: Release my fork (Fork-2 from Chair-2)
11:54:07.037 [Philosopher-1; Meals=1]: Release my fork (Fork-3 from Chair-3)
11:54:07.048 [Philosopher-1; Meals=1]: Stand up from seat (Chair-3)
11:54:07.055 [Philosopher-1; Meals=1]: Mediating for 5 ms
11:54:07.055 [Philosopher-3; Meals=0]: Picked up fork (Fork-2 from Chair-2)
11:54:07.065 [Philosopher-3; Meals=0]: Picked up fork (Fork-2 from Chair-2)
11:54:07.069 [Philosopher-1; Meals=1]: Waiting for a nice seat...
11:54:07.074 [Philosopher-3; Meals=0]: Found 2 forks! :D
11:54:07.078 [Philosopher-1; Meals=1]: Found a nice seat (Chair-3)
11:54:07.084 [Philosopher-3; Meals=1]: Eating for 1 ms
11:54:07.087 [Philosopher-1; Meals=1]: Waiting for 2 forks...
11:54:07.094 [Philosopher-3; Meals=1]: Release my fork (Fork-1 from Chair-1)
11:54:07.095 [Philosopher-1; Meals=1]: Picked up fork (Fork-3 from Chair-3)
11:54:07.103 [Philosopher-3; Meals=1]: Release my fork (Fork-2 from Chair-2)
11:54:07.105 [Philosopher-1; Meals=1]: Release my fork (Fork-3 from Chair-3)
11:54:07.112 [Philosopher-3; Meals=1]: Stand up from seat (Chair-2)
11:54:07.119 [Philosopher-3; Meals=1]: Mediating for 5 ms
11:54:07.132 [Philosopher-3; Meals=1]: Waiting for a nice seat...
11:54:07.143 [Philosopher-3; Meals=1]: Found a nice seat (Chair-2)
11:54:07.158 [Philosopher-3; Meals=1]: Waiting for 2 forks...
11:54:07.165 [Philosopher-3; Meals=1]: Picked up fork (Fork-2 from Chair-2)
11:54:07.175 [Philosopher-3; Meals=1]: Picked up fork (Fork-2 from Chair-2)
11:54:07.176 [Philosopher-1; Meals=1]: Picked up fork (Fork-3 from Chair-3)
11:54:07.184 [Philosopher-3; Meals=1]: Found 2 forks! :D
11:54:07.186 [Philosopher-1; Meals=1]: Release my fork (Fork-3 from Chair-3)
11:54:07.196 [Philosopher-3; Meals=2]: Eating for 1 ms
11:54:07.198 [Philosopher-2; Meals=0]: Picked up fork (Fork-1 from Chair-1)
11:54:07.204 [Philosopher-3; Meals=2]: Release my fork (Fork-1 from Chair-1)
11:54:07.207 [Philosopher-2; Meals=0]: Release my fork (Fork-4 from Chair-4)
11:54:07.214 [Philosopher-3; Meals=2]: Release my fork (Fork-2 from Chair-2)
11:54:07.216 [Philosopher-4; Meals=0]: Picked up fork (Fork-4 from Chair-4)
11:54:07.225 [Philosopher-3; Meals=2]: Stand up from seat (Chair-2)
11:54:07.225 [Philosopher-4; Meals=0]: Picked up fork (Fork-4 from Chair-4)
11:54:07.226 [Philosopher-2; Meals=0]: Picked up fork (Fork-1 from Chair-1)
11:54:07.235 [Philosopher-3; Meals=2]: Mediating for 5 ms
11:54:07.235 [Philosopher-4; Meals=0]: Found 2 forks! :D
11:54:07.242 [Philosopher-2; Meals=0]: Release my fork (Fork-1 from Chair-1)
11:54:07.245 [Philosopher-4; Meals=1]: Eating for 1 ms
11:54:07.252 [Philosopher-3; Meals=2]: Waiting for a nice seat...
11:54:07.258 [Philosopher-4; Meals=1]: Release my fork (Fork-3 from Chair-3)
11:54:07.264 [Philosopher-3; Meals=2]: Found a nice seat (Chair-2)
11:54:07.267 [Philosopher-4; Meals=1]: Release my fork (Fork-4 from Chair-4)
11:54:07.272 [Philosopher-3; Meals=2]: Waiting for 2 forks...
11:54:07.275 [Philosopher-4; Meals=1]: Stand up from seat (Chair-4)
11:54:07.281 [Philosopher-3; Meals=2]: Picked up fork (Fork-2 from Chair-2)
11:54:07.282 [Philosopher-4; Meals=1]: Mediating for 5 ms
11:54:07.294 [Philosopher-3; Meals=2]: Picked up fork (Fork-2 from Chair-2)
11:54:07.296 [Philosopher-4; Meals=1]: Waiting for a nice seat...
11:54:07.304 [Philosopher-3; Meals=2]: Found 2 forks! :D
11:54:07.306 [Philosopher-4; Meals=1]: Found a nice seat (Chair-4)
11:54:07.314 [Philosopher-3; Meals=3]: Eating for 1 ms
11:54:07.318 [Philosopher-4; Meals=1]: Waiting for 2 forks...
11:54:07.323 [Philosopher-1; Meals=1]: Picked up fork (Fork-3 from Chair-3)
11:54:07.327 [Philosopher-4; Meals=1]: Picked up fork (Fork-4 from Chair-4)
11:54:07.328 [Philosopher-3; Meals=3]: Release my fork (Fork-1 from Chair-1)
11:54:07.335 [Philosopher-1; Meals=1]: Release my fork (Fork-3 from Chair-3)
11:54:07.337 [Philosopher-4; Meals=1]: Release my fork (Fork-4 from Chair-4)
11:54:07.340 [Philosopher-3; Meals=3]: Release my fork (Fork-2 from Chair-2)
11:54:07.351 [Philosopher-3; Meals=3]: Stand up from seat (Chair-2)
